Age BP,Varve
2069,1.2
2079,0.508966931
2089,0.698529449
2099,0.248808825
2109,0.238
2119,0.387283089
2129,0.436161889
2139,1.007687576
2149,0.331448495
2159,0.479176369
2169,0.810764876
2179,0.793871447
2189,0.33211769
2199,0.703441155
2209,1.016
2219,0.364797834
2229,0.242227979
2239,0.351617675
2249,0.61161766
2259,0.290021763
2269,0.135897055
2279,0.774731592
2289,0.885058842
2299,0.632400769
2309,0.589654409
2319,0.752643353
2329,1.046000041
2339,0.300367612
2349,0.553808783
2359,0.364981556
2369,0.492705868
2379,0.257500081
2389,0.471139633
2399,0.593169106
2409,0.568117652
2419,0.67375374
2429,0.553323478
2439,0.614430159
2449,0.794352869
2459,0.539011038
2469,0.398257399
2479,0.686033098
2489,0.646823517
2499,0.315062497
2509,0.391308819
2519,0.42366177
2529,0.538926321
2539,0.415665449
2549,0.476625073
2559,0.533867614
2569,0.400382357
2579,0.628091999
2589,0.632852914
2599,0.260183823
2609,0.529764695
2619,0.61313675
2629,0.543593204
2639,0.75765621
2649,1.550924319
2659,0.743243617
2669,0.723807812
2679,0.547805247
2689,0.288
2699,0.930481398
2709,0.768053845
2719,0.515619717
2729,0.186286619
2739,0.564022354
2749,0.65191885
2759,0.43
2769,1.545302694
2779,0.674888898
2789,1.346865067
2799,0.646209532
2809,0.978583296
2819,0.593716606
2829,0.862751442
2839,0.517916322
2849,0.789092798
2859,0.902830276
2869,0.58836699
2879,0.646851681
2889,0.314788714
2899,0.416314019
2909,1.096450511
2919,0.944635398
2929,0.719088571
2939,1.101773849
2949,1.012470612
2959,0.91257995
2969,0.522610574
2979,0.745912109
2989,0.449968515
2999,0.465982489
3009,0.443368748
3019,0.361909673
3029,0.627439123
3039,0.446810263
3049,0.457761419
3059,0.690464786
3069,0.51600412
3079,0.62368767
3089,0.400427499
3099,0.736487954
3109,0.659685931
3119,0.482534365
3129,0.292873176
3139,0.886631125
3149,0.507681811
3159,0.516508706
3169,0.68683999
3179,0.320567498
3189,0.291331332
3199,0.665257695
3209,0.721033969
3219,1.049205482
3229,0.563
3239,0.458455692
3249,0.667109328
3259,0.492506319
3269,0.736744241
3279,0.284703403
3289,0.662786333
3299,0.847362069
3309,0.382014166
3319,1.047742411
3329,0.458608942
3339,0.632050528
3349,1.598119416
3359,1.13278059
3369,0.596243449
3379,1.065106072
3389,0.499171435
3399,1.161647774
3409,0.905675248
3419,0.43288312
3429,0.270261776
3439,0.40314997
3449,0.536177309
3459,0.261021542
3469,0.524647038
3479,0.638286669
3489,0.68651626
3499,0.587920402
3509,0.268260103
3519,0.76788818
3529,0.733420978
3539,0.732496259
3549,0.582497941
3559,0.287378657
3569,0.504901446
3579,0.750787075
3589,0.40285829
3599,0.185273414
3609,0.456959432
3619,0.293718376
3629,0.805985728
3639,0.659879839
3649,0.73529494
3659,0.35
3669,0.49825248
3679,0.362658666
3689,0.645581578
3699,0.395280037
3709,0.404762232
3719,0.321376974
3729,0.5843703
3739,0.401028187
3749,0.377867432
3759,0.521465498
3769,0.495000877
3779,0.335756436
3789,0.307976843
3799,0.262062092
3809,0.161163985
3819,0.201636299
3829,0.39905372
3839,0.406281001
3849,0.253805806
3859,0.310006186
3869,0.4456736
3879,0.439386271
3889,0.409539161
3899,0.434570204
3909,0.835520751
3919,0.662896639
3929,1.689618117
3939,0.738043279
