time (ka BP),maximum AMOC at 52N below 500m (Sv)
-11.5,2.4695055
-11.489999771118164,2.3092887
-11.480000495910645,2.5699189
-11.470000267028809,2.2571647
-11.460000038146973,2.6317
-11.449999809265137,2.5677454
-11.440000534057617,2.982956
-11.430000305175781,2.7227929
-11.420000076293945,2.095352
-11.40999984741211,2.9555101
-11.40000057220459,2.5633714
-11.390000343322754,1.866598
-11.380000114440918,1.9499573
-11.369999885559082,3.255984
-11.360000610351562,1.9922994
-11.350000381469727,3.2322776
-11.34000015258789,3.3991544
-11.329999923706055,2.5036182
-11.320000648498535,2.735589
-11.3100004196167,2.7820761
-11.300000190734863,2.3465402
-11.289999961853027,3.0493457
-11.280000686645508,1.8279504
-11.270000457763672,2.0486882
-11.260000228881836,2.37448
-11.25,2.3964465
-11.239999771118164,2.4772215
-11.230000495910645,2.952617
-11.220000267028809,2.9474905
-11.210000038146973,3.2148883
-11.199999809265137,1.5658721
-11.190000534057617,3.051175
-11.180000305175781,2.2072322
-11.170000076293945,2.4243581
-11.15999984741211,2.4060013
-11.15000057220459,2.0333564
-11.140000343322754,2.2008235
-11.130000114440918,2.5077667
-11.119999885559082,1.9984441
-11.110000610351562,2.5608728
-11.100000381469727,2.0417597
-11.09000015258789,1.8964214
-11.079999923706055,2.1879468
-11.070000648498535,2.0607336
-11.0600004196167,1.7161255
-11.050000190734863,2.1124165
-11.039999961853027,2.361244
-11.030000686645508,1.9473825
-11.020000457763672,2.2970788
-11.010000228881836,1.540577
-11.0,2.1961505
-10.989999771118164,2.3504174
-10.980000495910645,2.0447512
-10.970000267028809,2.216128
-10.960000038146973,1.8516845
-10.949999809265137,1.9855236
-10.940000534057617,1.8480295
-10.930000305175781,2.0947053
-10.920000076293945,1.9211046
-10.90999984741211,1.8652071
-10.90000057220459,1.9174647
-10.890000343322754,2.0408876
-10.880000114440918,2.2689471
-10.869999885559082,2.0025165
-10.860000610351562,2.1834862
-10.850000381469727,2.2300837
-10.84000015258789,1.7835523
-10.829999923706055,1.8095094
-10.820000648498535,2.0545752
-10.8100004196167,2.7267287
-10.800000190734863,1.7367382
-10.789999961853027,1.802455
-10.780000686645508,2.4113047
-10.770000457763672,2.282326
-10.760000228881836,2.1180608
-10.75,2.0753472
-10.74000072479248,2.2178853
-10.730000495910645,1.2277402
-10.720000267028809,2.348286
-10.710000038146973,1.6274735
-10.699999809265137,1.6494446
-10.690000534057617,3.1777995
-10.680000305175781,1.9082302
-10.670000076293945,1.792147
-10.65999984741211,1.5438418
-10.65000057220459,2.6628766
-10.640000343322754,2.3453639
-10.630000114440918,1.6630291
-10.619999885559082,1.8563396
-10.610000610351562,1.2427868
-10.600000381469727,2.2790768
-10.59000015258789,2.525644
-10.579999923706055,2.1035557
-10.570000648498535,2.4839633
-10.5600004196167,2.4374049
-10.550000190734863,2.117546
-10.539999961853027,2.1334498
-10.530000686645508,2.269975
-10.520000457763672,1.4371758
-10.510000228881836,2.774071
-10.5,2.9962635
-10.49000072479248,1.9483205
-10.480000495910645,2.6496038
-10.470000267028809,2.228904
-10.460000038146973,2.5780056
-10.449999809265137,2.6854308
-10.440000534057617,2.063793
-10.430000305175781,2.1547785
-10.420000076293945,2.648874
-10.40999984741211,2.2376764
-10.40000057220459,2.5565135
-10.390000343322754,2.5600173
-10.380000114440918,1.9322664
-10.369999885559082,2.9602606
-10.360000610351562,2.4803405
-10.350000381469727,2.2107155
-10.34000015258789,1.9125241
-10.329999923706055,2.6912491
-10.320000648498535,2.8458147
-10.3100004196167,2.52863
-10.300000190734863,2.5069149
-10.289999961853027,1.9608474
-10.280000686645508,2.4969022
-10.270000457763672,2.2491903
-10.260000228881836,2.1195107
-10.25,2.5858507
-10.24000072479248,2.6508312
-10.230000495910645,2.0318427
-10.220000267028809,2.778863
-10.210000038146973,2.401932
-10.199999809265137,2.9555132
-10.190000534057617,2.428379
-10.180000305175781,2.758609
-10.170000076293945,2.2360892
-10.15999984741211,1.8858622
-10.15000057220459,2.6671183
-10.140000343322754,2.365956
-10.130000114440918,3.0447161
-10.119999885559082,3.2712128
-10.110000610351562,2.7158334
-10.100000381469727,2.7550507
-10.09000015258789,2.4394617
-10.079999923706055,2.8927948
-10.070000648498535,2.1093292
-10.0600004196167,2.7492998
-10.050000190734863,2.4320564
-10.039999961853027,2.560549
-10.030000686645508,2.191386
-10.020000457763672,2.2618973
-10.010000228881836,2.587526
-10.0,2.1416476
-9.99000072479248,2.2663875
-9.980000495910645,3.337755
-9.970000267028809,2.9429398
-9.960000038146973,2.486316
-9.949999809265137,2.344263
-9.940000534057617,2.2137
-9.930000305175781,1.9320182
-9.920000076293945,3.3157356
